Error Codes
Error Code	Short Message	Long Message	Correcting this Error
31024	Invalid Parameter	expiry_month: Invalid Parameter	Ensure that the expiry_month parameter is not Invalid.
31025	Invalid Parameter	expiry_year: Invalid Parameter	Ensure that the expiry_year parameter is not Invalid.
31026	Invalid Parameter	cvv_number: Invalid Parameter	Ensure that the cvv_number parameter is not Invalid.
31027	Invalid Parameter	issuing_bank: Invalid Parameter	Ensure that the issuing_bank parameter is not Invalid.
31028	Invalid Parameter	emi_plan_id: Invalid Parameter	Ensure that the emi_plan_id parameter is not Invalid.
31029	Invalid Parameter	emi_tenure_id: Invalid Parameter	Ensure that the emi_tenure_id parameter is not Invalid.
31030	Invalid Parameter	order_uid: Invalid Parameter	Ensure that the order_uid parameter is not Invalid.
31031	Invalid Parameter	mm_id: Invalid Parameter	Ensure that the mm_id parameter is not Invalid.
31032	Invalid Parameter	otp: Invalid Parameter	Ensure that the otp parameter is not Invalid.
31034	Invalid Parameter	Selected EMI facility is not valid for entered card	As verified by bank EMI transactions are not enabled on this card.
